Station,Year,Month,Day,date,station,year,month,Mean Wind Speed (km/h),Max Wind Speed (km/h),StationType,StationName,geometry
Paya Lebar,2020,6,29,2020-06-29,S06,2020,6,10.9,31.5,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,6,30,2020-06-30,S06,2020,6,9.8,33.3,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,1,2020-07-01,S06,2020,7,8.4,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,2,2020-07-02,S06,2020,7,10.7,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,3,2020-07-03,S06,2020,7,10.3,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,4,2020-07-04,S06,2020,7,8.6,27.8,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,5,2020-07-05,S06,2020,7,5.6,24.1,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,6,2020-07-06,S06,2020,7,9,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,7,2020-07-07,S06,2020,7,5.6,29.6,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
Paya Lebar,2020,7,8,2020-07-08,S06,2020,7,4.2,22.2,AWS,Paya Lebar,"c(35832.6430009714, 37686.8526496462)"
